"estimates","year","model","metric","pars"
"1883","2015","BMC","popnIndex","mean"
"1815","2015","BUMC","popnIndex","mean"
"1815.5","2015","AUMC","popnIndex","mean"
"1.01141324809743","2015","BMC","gamma","mean"
"1.01968674732689","2015","BUMC","gamma","mean"
"1.01733528799329","2015","AUMC","gamma","mean"
"148.534178902602","2015","BMC","popnIndex","sd"
"138.429935063961","2015","BUMC","popnIndex","sd"
"138.429960404522","2015","AUMC","popnIndex","sd"
"0.0310460159430197","2015","BMC","gamma","sd"
"0.0703025088654112","2015","BUMC","gamma","sd"
"0.065824324941242","2015","AUMC","gamma","sd"
